latitude,longitude
32.7289836,-117.2000965
32.7292142,-117.2062072
32.793082,-116.951684
32.7972806,-116.9807626
32.7091137,-117.1629201
32.8058947,-116.9512159
32.7459522,-117.1069785
32.8115445,-116.9357469
32.7976795,-116.9110454
32.7949511,-116.9743888
32.7136792,-117.1494758
33.2379591,-117.268075
33.1595557,-117.0986538
32.806061,-116.9537238
32.8064125,-116.9780977
33.1033733,-117.1032563
32.6099151,-117.0816743
32.7973112,-116.9883449
32.8002601,-117.153975
32.9607034,-117.0900347
32.7314432,-117.0880654
32.724239,-117.162351
32.9129073,-117.1205722
32.8030573,-117.1634212
32.7357988,-117.1243051
32.7229942,-117.1691775
32.7485489,-117.1264406
32.7509839,-117.0703626
32.7142096,-117.1484983
32.6893988,-117.037263
33.1146571,-117.0856784
33.12916010000001,-117.0937559
33.1482289,-117.0613783
32.797642,-116.956684
33.1322447,-117.0694634
32.7949396,-116.9581967
32.8123166,-116.9623645
32.6752745,-117.1055283
33.1287226,-117.3215784
33.1552096,-117.2636176
33.2093499,-117.3946053
33.1873495,-117.3724122
33.0711084,-117.0662939
33.1343287,-117.07541
32.6332739,-117.093915
33.1961675,-117.3690479
32.5975024,-117.0667321
33.1800323,-117.3264582
33.1961688,-117.3680043
33.2086236,-117.3340638
32.646144,-117.0899024
32.6505092,-117.0880395
33.1031252,-117.1062712
33.1512276,-117.0463734
32.8345398,-117.1870788
32.7115497,-117.1601504
32.6812745,-117.0602121
33.1589284,-117.094504
33.1229983,-117.1125536
33.1315265,-117.0654796
33.0711084,-117.0662939
33.1301399,-117.0860867
33.1595557,-117.0986538
32.8099843,-117.2226821
32.9981477,-117.087798
32.7103831,-117.0892492
32.7907774,-117.1458976
32.7103831,-117.0892492
32.7485688,-117.1512383
32.7665593,-117.1992109
32.9680744,-117.174825
32.7671066,-117.1486658
32.7686889,-117.1604037
33.1103937,-117.3161195
32.7796097,-117.0329705
32.6621294,-117.0922541
32.5828487,-117.0880454
32.6351961,-117.0156573
32.6751284,-117.0976801
33.1225715,-117.3000612
32.7495549,-117.0933565
32.7059302,-117.0936607
32.7503838,-117.1929122
32.7448797,-117.2477411
32.7051817,-117.1485207
33.0781105,-117.2686971
32.8584199,-117.1869485
32.7158717,-117.1599422
32.7479051,-117.1009287
32.7417368,-117.1606569
32.7272815,-117.1701302
32.7558979,-117.2167929
32.7498953,-117.1999106
32.75680820000001,-117.0386704
33.1900286,-117.3304437
33.1956675,-117.3721461
33.1956675,-117.3721461
33.1742786,-117.3638133
33.1841423,-117.3317791
33.2121481,-117.2548981
33.178286,-117.2971011
32.9588444,-117.0413919
33.1961056,-117.2881889
33.2454379,-117.2843488
32.6505092,-117.0880395
32.6713494,-117.0745637
33.1786282,-117.2995772
32.6726598,-117.0875072
32.5901103,-116.9210627
32.5901103,-116.9210627
32.77776619999999,-117.0094676
33.1363021,-117.1242225
32.8396554,-116.9830776
33.2570458,-116.3795318
32.8396554,-116.9830776
32.9811391,-117.2603918
32.866466,-116.9587675
32.8490906,-116.9929095
33.3903869,-117.2511757
32.7082754,-117.0181453
33.0459245,-117.2596774
32.6015326,-117.0601561
32.77776619999999,-117.0094676
33.0792193,-116.6332848
32.7487861,-116.9802363
32.8346496,-117.1806235
32.7347575,-117.0318909
32.7232597,-117.0408353
32.8856057,-117.1703745
33.140582,-117.086861
32.7984772,-117.2480677
32.827763,-117.2050201
32.7574274,-117.1477684
32.7208745,-117.2308617
32.5923663,-116.9227063
32.7283287,-116.9579607
32.7960666,-117.1599822
32.7388141,-117.0589785
32.7876878,-117.0958024
32.5829193,-117.0948665
32.5746433,-117.0996721
32.6279561,-117.0412264
32.6356345,-117.0568234
32.7497395,-117.1106581
32.7346592,-117.1605355
32.748497,-117.1288974
32.5783699,-117.0948699
32.7357344,-117.1676578
32.738855,-117.0807785
32.7459522,-117.1069785
32.8016611,-117.0128259
32.9611098,-117.1902956
32.9479721,-117.2456104
32.7553282,-117.0975753
32.9169013,-117.1136837
32.7307787,-117.1317594
32.8513479,-117.1930833
