latitude,longitude
32.7289836,-117.2000965
32.6992643,-117.1735012
32.7353163,-117.1772172
32.6976769,-117.1702577
32.7163047,-117.1731071
32.6920931,-117.1776957
32.7289836,-117.2000965
32.7091137,-117.1629201
33.1914716,-117.3287676
32.7707614,-117.0719799
32.8060796,-116.953736
32.7996043,-116.9713702
32.7949724,-116.9755578
32.796444,-116.9622745
32.74456930000001,-117.0284564
32.7876619,-116.9622842
32.6067864,-117.0664038
33.2269934,-117.3311755
33.1236463,-117.3205879
33.1158002,-117.0809887
33.1568911,-117.0955307
33.2060254,-117.389106
32.7840997,-116.9611342
33.1319242,-117.071818
33.0694067,-117.0487715
33.07710540000001,-117.0563174
33.0711084,-117.0662939
33.1916607,-117.2912876
32.9136876,-117.1688134
32.7858041,-116.9577383
32.7876469,-116.9281372
32.7951939,-116.9622606
32.8142464,-116.9510183
33.1140325,-117.0724
32.7949398,-116.9536617
32.6309447,-117.0894555
32.621443,-116.9622548
33.2139228,-117.31964
33.2470862,-117.2946689
33.1947511,-117.3737369
33.2274737,-117.3260495
33.2452682,-117.3259295
33.1329218,-117.0617546
33.07710540000001,-117.0563174
32.812009,-116.9779704
33.1142134,-117.0817033
33.1221248,-117.078102
33.1983561,-117.279522
33.239418,-117.3276967
33.2453888,-117.3178083
33.193066,-117.371178
32.574362,-117.054883
33.2485748,-117.2920848
33.1692948,-117.2566337
33.1287228,-117.0845865
33.2039053,-117.3637883
33.1091193,-117.0598935
33.1094867,-117.0970547
32.7704342,-116.830025
32.6361584,-116.9700265
33.149612,-117.115328
32.6734457,-117.1014399
32.669612,-117.0713052
32.6307588,-117.0895467
32.8308821,-117.1532556
32.7559874,-117.2071236
32.8105314,-117.1836497
33.2413893,-117.3226511
33.1953747,-117.3706421
33.1798539,-117.3458113
32.7609985,-117.1206731
32.7719409,-117.1803915
33.1568274,-117.3506469
32.7168248,-117.1504297
33.1993342,-117.2884892
33.1817986,-117.2877524
33.2231581,-117.3360168
32.62548,-117.0807072
32.7500436,-117.1009064
33.1997365,-117.3096314
33.1937896,-117.3071456
32.6775342,-117.0467503
33.0158731,-117.0781019
33.224303,-117.3334616
33.2201697,-117.2654666
32.7549172,-117.082598
32.7857842,-117.1103536
32.7482509,-117.1627537
32.7540753,-117.1314018
32.7573213,-117.1289516
32.5547197,-117.0514825
32.9140251,-117.1204651
32.9127202,-117.1467932
