latitude,longitude
32.9066435,-117.1771055
32.75785020000001,-117.0738703
32.7042331,-117.1599742
32.7093836,-117.1628654
32.7115366,-117.1711342
32.7289448,-117.1882314
33.1051034,-117.0997712
32.7786288,-116.9687609
33.1868882,-117.327998
33.1868882,-117.327998
33.2291566,-117.3058108
33.195547,-117.356772
32.7966922,-116.9358413
32.807099,-116.9907482
33.1937992,-117.3561151
33.24734890000001,-117.2970469
33.1124967,-117.0710178
32.781271,-116.976652
33.0711084,-117.0662939
33.1283991,-117.1230081
32.7994362,-116.9732952
32.789504,-116.9811834
33.1097641,-117.0016335
33.19629140000001,-117.381045
32.937789,-117.2333244
32.90981,-117.1586794
32.8997498,-117.1208581
32.8641271,-117.216461
32.7407633,-117.2536918
32.9578152,-117.2393505
32.6612098,-117.1017922
32.7817591,-116.9670642
32.7725792,-117.0438889
32.7949378,-116.9446001
33.2284893,-117.3310537
33.2067772,-117.2894043
33.2016122,-117.3424342
32.5901103,-116.9210627
32.7064054,-117.1297368
32.8185224,-116.947296
32.7434127,-116.9992648
33.1432463,-117.1670282
33.2063629,-117.3539038
32.8675693,-117.2071853
32.8059004,-117.2215394
33.1415271,-117.0539001
33.1306576,-117.0720772
33.0711084,-117.0662939
33.1279311,-117.0725765
33.205595,-117.374234
33.2056407,-117.3527657
33.2487315,-117.2936026
33.2508084,-117.30076
33.219148,-117.3034563
33.2111111,-117.2852072
33.1406854,-117.0451478
33.128598,-117.0635426
33.1649756,-117.2229424
33.0487702,-117.2599049
32.643183,-116.9746649
33.2504435,-117.2640824
33.1295138,-117.1250119
33.140582,-117.086861
32.6398502,-117.0081719
33.1917689,-117.3788408
32.7878318,-116.9806121
33.1426375,-117.0838162
32.7995467,-116.9317611
33.2139408,-117.3481822
33.1868882,-117.327998
32.7064209,-117.0321195
32.713837,-117.156075
32.7605079,-117.0687279
32.7209178,-117.1602043
33.141093,-117.0438981
33.1269703,-117.0838421
33.0711084,-117.0662939
33.200801,-117.3709239
33.1348164,-117.0747588
32.75293190000001,-117.0644073
32.7570101,-117.0929397
32.5837759,-117.0840826
33.0646856,-117.0404769
33.109176,-117.0873026
33.0873908,-117.0703926
32.7115154,-117.1664864
32.8402395,-116.9317053
32.7728873,-117.037758
32.743087,-117.2135539
32.7179189,-117.1381825
32.7908786,-117.097697
32.7968581,-117.2552518
32.7168138,-117.1592365
32.7428353,-117.24661
32.7446798,-117.057458
32.5758154,-116.9138472
32.6751284,-117.0976801
33.2013234,-117.3569135
33.1475957,-117.3219366
33.0606905,-117.3031078
32.9184705,-117.2296005
33.1971962,-117.3537903
32.7555215,-117.2262932
33.2040256,-117.3547731
33.1842603,-117.2882888
32.7053176,-117.142099
33.200373,-117.331381
33.1680954,-117.3321376
33.1409838,-117.1652283
32.6621294,-117.0922541
32.6470402,-117.0031655
32.6242124,-117.0861902
32.640718,-117.088773
32.6507532,-116.9664152
32.6140579,-117.0677445
32.6140579,-117.0677445
32.8328105,-117.2041453
32.6231128,-117.0478881
32.6461338,-117.0954122
32.6419351,-116.9893408
32.6125079,-117.0596296
32.6278423,-116.9936645
32.7053176,-117.142099
32.8204902,-117.1798474
32.7850757,-116.9188447
32.7972718,-116.9383458
33.154672,-117.350253
32.8366247,-116.8992521
32.707836,-116.994984
32.5484889,-117.0345238
32.8272787,-116.903303
33.1398447,-117.1830614
32.5901103,-116.9210627
32.5759898,-117.1258771
32.9499163,-117.1079845
32.7671066,-117.1486658
32.6920931,-117.1776957
33.2452401,-117.3292915
32.742544,-117.0471924
32.8389985,-116.9941155
32.5901103,-116.9210627
32.8929216,-117.1447106
32.8352318,-117.1787244
32.7612192,-117.1174316
33.2600456,-116.9555966
32.7857129,-116.9988198
32.8539927,-116.9995597
32.7968581,-117.2552518
32.7609815,-117.0868009
32.7157607,-117.1592636
32.7165004,-117.0418827
32.8090341,-117.156214
32.8294419,-117.154692
32.7549153,-117.0836585
33.1916607,-117.2912876
32.7359515,-117.0797001
32.71047310000001,-117.1519023
32.7517374,-117.205555
32.7499828,-117.1608987
32.6264942,-117.0609685
32.9139636,-117.196407
33.0315134,-117.0841771
32.6863217,-117.114565
32.7407673,-117.2536881
32.7127103,-117.163967
32.79441380000001,-117.0101936
32.7655322,-117.1572206
33.0156697,-117.1475185
32.7687524,-117.0469933
32.9028742,-117.0652796
32.7352572,-117.1730991
32.7153026,-117.0378054
32.7453766,-117.1473254
32.721622,-117.247963
32.689179,-117.0979992
32.7763262,-117.1535471
32.7434585,-117.1630495
33.1606343,-117.205699
33.1224583,-117.0701118
32.5669486,-117.0622864
32.7572951,-117.1302036
32.7096924,-117.1626642
33.0337159,-117.0854421
32.7517781,-117.2044046
32.7795895,-117.1310998
32.8086532,-117.2591558
32.7435204,-117.1865697
32.6719592,-117.0437737
32.8406021,-116.9892544
33.3625296,-117.2579081
32.7935579,-117.0204851
32.7115738,-117.1519467
32.7157607,-117.1592636
32.7696161,-117.1702256
32.9818711,-117.0774544
32.8185245,-117.2653273
32.7620319,-117.0612038
32.8419872,-116.702992
32.7590305,-117.1178909
32.7554616,-117.1012799
32.9117317,-117.1444071
32.8089799,-117.2101424
32.7632722,-117.1679709
32.7188643,-117.1592904
32.7062866,-117.1448991
33.0310617,-117.0648729
32.7188198,-117.0555919
32.9659247,-117.1221916
32.7697412,-117.1885034
32.802998,-117.2398244
32.5815605,-117.0356001
32.6863217,-117.114565
32.7443353,-117.2532534
32.9173086,-117.1217963
32.7497739,-117.0889524
32.7574018,-117.126719
32.8779022,-117.1725414
32.7499705,-117.1627768
32.7443353,-117.2532534
32.7274603,-117.1479997
32.7455651,-117.1555367
32.7053176,-117.142099
32.5862441,-117.0926424
32.83544260000001,-117.2544153
32.7585521,-117.2020706
32.7982578,-117.2568274
32.9528701,-117.2277153
32.7427012,-117.0356323
32.7239423,-117.0479603
32.710988,-117.0931702
32.7124924,-117.0462944
32.9002741,-117.0928736
32.7451318,-117.163869
32.750328,-117.1363343
32.7671066,-117.1486658
32.7531256,-117.0718643
32.7577381,-117.2155288
32.7136328,-117.160169
32.569371,-117.0861624
33.1348164,-117.0747588
32.7415761,-117.2529753
32.795454,-117.0281127
32.9079216,-117.2286925
33.1352602,-117.159485
33.1344986,-117.2842288
32.6751284,-117.0976801
32.6671893,-117.0933195
32.683018,-117.094963
32.5792855,-117.1056423
33.1107644,-117.3018297
32.7608075,-117.0383085
32.77776619999999,-117.0094676
32.7422156,-117.1070218
33.0643725,-117.2630726
33.22351,-117.227594
32.795454,-117.0281127
32.7188198,-117.0555919
32.7308499,-117.1694736
33.1836238,-117.2704436
32.6175103,-117.082988
33.1101894,-117.3011641
33.1503757,-117.3241275
32.7169071,-117.1337815
33.1597688,-117.2061075
32.9490576,-117.0499009
32.6430318,-117.0942273
32.7422156,-117.1070218
33.1352252,-117.3373673
32.6738215,-117.0758239
33.111716,-117.239179
33.1104405,-117.2991332
33.1521881,-117.3099028
33.1195049,-117.2444603
33.218394,-117.3318665
33.1306705,-117.113846
33.1351271,-117.1782991
33.1933513,-117.254137
32.8698781,-116.9749632
33.3051288,-116.9763904
33.2561836,-117.0503734
32.7415761,-117.2529753
