latitude,longitude
32.7252612,-117.2001408
32.7093827,-117.1619346
32.6920637,-117.1818783
32.6925254,-117.1829757
32.8080432,-116.9661174
33.1326773,-117.0532598
32.7289615,-117.2087818
32.7290181,-117.2049079
32.7093827,-117.1619346
32.7876607,-116.9576399
32.8020912,-116.9313538
32.800965,-116.9809339
32.7949286,-116.9647826
32.7896344,-116.9482246
33.146376,-117.0681717
32.7107016,-117.0597186
32.7933329,-117.0956672
32.7861277,-117.087237
32.77776619999999,-117.0094676
32.7980632,-116.9362665
32.8137012,-116.9482632
32.784725,-116.9509337
32.719541,-117.167613
33.224303,-117.3334616
33.234573,-117.3352596
32.6278318,-116.9646778
33.1492751,-117.0770875
32.7536364,-117.2111325
32.7503154,-117.1375776
32.7075606,-117.1516782
32.7521127,-117.215146
32.7128393,-117.1529588
33.0187013,-117.0627924
32.7557292,-117.2009271
33.2067772,-117.2894043
33.2292622,-117.3127303
33.2494695,-117.3011033
32.6434241,-116.9644702
32.7052892,-117.1467009
32.7998431,-117.1464061
32.7052959,-117.1494385
32.7072955,-117.1582645
32.7968581,-117.2552518
33.2380887,-117.3229845
33.071896,-117.0666029
33.1248121,-117.0504472
33.1295227,-117.1274717
33.1348164,-117.0747588
33.1488774,-117.0584072
33.1849502,-117.2965364
32.5764829,-117.0949079
32.5441857,-117.0435151
32.543422,-117.0461296
33.1210788,-117.0745494
32.7011128,-117.0534903
33.02299360000001,-117.1134431
32.7609576,-117.1162504
32.74511380000001,-117.1638632
32.9814855,-117.1325773
32.7930263,-117.1094548
32.752214,-117.130173
32.7850151,-117.0998314
32.610554,-117.0724501
32.6731189,-117.0958753
32.6652325,-117.0939909
32.778033,-117.010584
32.70943510000001,-117.1503537
32.9517826,-117.0450073
32.7532559,-117.1082581
32.8313269,-117.1106497
33.2284893,-117.3310537
32.7118496,-117.026926
33.1933958,-117.290494
33.2197556,-117.2708865
33.1907899,-117.3413105
32.64019,-117.0975491
32.6366429,-117.0826275
32.7899409,-117.1675537
32.6621294,-117.0922541
32.7175015,-117.1644722
33.1945295,-117.3831407
33.021634,-116.8795003
33.1426786,-117.1886952
32.7389108,-117.0385621
33.3903869,-117.2511757
33.3903869,-117.2511757
33.3738936,-117.253647
32.8386557,-116.892125
33.2049299,-117.0166851
33.2771205,-116.958431
33.0346601,-117.0382414
32.7532258,-117.1040152
32.5765174,-117.0805811
32.7573213,-117.1289516
32.8351641,-117.1670872
33.3323256,-116.8716796
32.7123561,-117.0934757
32.7105694,-117.1635721
32.7115495,-117.1592161
32.9568219,-117.1988745
32.8643118,-117.0063588
32.8496577,-116.9964598
32.9479389,-117.2453472
32.7447974,-117.0874932
33.1800323,-117.3264582
32.7095029,-117.1608037
32.922143,-117.2144258
32.7708925,-117.1561553
32.7073984,-117.1381254
32.7440678,-117.1057682
32.753183,-117.0997796
32.7521127,-117.215146
32.6975768,-117.1315223
32.7104644,-117.1494443
32.7781968,-117.1611384
32.7561965,-117.0911481
32.7531154,-117.0901208
32.7473596,-117.1604178
32.8039264,-117.1365184
32.9499163,-117.1079845
32.736309,-117.1047082
32.7998783,-117.1436957
32.7103831,-117.0892492
32.6441497,-117.076522
32.7171083,-117.171527
32.724801,-117.228949
32.7499828,-117.1608987
32.7847178,-117.1722932
32.8059004,-117.2215394
32.8347044,-117.2099491
32.7048844,-117.1408874
32.8193885,-117.182037
32.7824455,-117.1020805
32.7439958,-117.0957771
32.7381335,-117.1491923
32.7856343,-117.0878084
33.1406064,-117.2028136
32.7258456,-117.0364006
33.1521555,-117.1619294
32.7297582,-117.1007156
32.788772,-117.2374939
32.7413351,-117.2373945
32.722213,-117.0825286
32.7623421,-117.0204958
33.107505,-117.317699
33.0904894,-117.2660731
32.6067597,-117.0800624
32.6192901,-117.0492257
32.7728873,-117.037758
32.742544,-117.0471924
32.995031,-117.240225
32.8280873,-116.9614551
33.0074983,-116.9202374
32.6758747,-117.0401802
32.755389,-117.1388451
32.7484546,-117.1412765
32.7921044,-117.1922578
33.1538381,-117.0342275
32.7286618,-116.9761316
32.6438929,-117.0978496
32.7970639,-117.1177876
32.892149,-117.1976296
32.6205944,-117.0854136
32.821167,-116.933842
33.0656237,-117.302718
32.7448023,-117.1492471
32.7690994,-117.188826
33.0090384,-117.0856264
32.799615,-117.2564295
32.742544,-117.0471924
33.2293012,-117.0448421
32.86725759999999,-117.2165616
33.1611596,-117.2195592
32.9660752,-117.1789336
32.7289836,-117.2000965
33.1526594,-117.1699332
32.8358874,-116.7241497
33.0750507,-117.2666922
32.6027576,-117.0738898
32.652067,-117.0589072
33.1628428,-117.3431442
32.5886365,-117.1179754
33.1983544,-117.2486309
33.2073533,-117.2546839
32.7148062,-117.0056493
33.2039413,-117.2448461
32.7462448,-117.253877
33.1360707,-117.1504153
32.6271682,-117.0882852
32.6417319,-116.9435756
32.6067597,-117.0800624
32.8358874,-116.7241497
32.7511925,-117.1808422
32.8146055,-117.2164107
33.3692984,-117.2492906
33.23783780000001,-116.7650615
